DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2015.12.10-05.56.03, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=0.547372ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD223CF75__23E99E83774251E57C2B3F99B833103F99DBF08E, StartTime=2015.12.10-05.56.03, HierarchicalDDC, DataSize=3312989 bytes, Retrieved=true, Duration=1.328032ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD223CF75__E2C92D33A3E77933BD68685D5D271B5F31760256, StartTime=2015.12.10-05.56.03, HierarchicalDDC, DataSize=2616510 bytes, Retrieved=true, Duration=9.187456ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_3, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDAB81C28__16747BAB7773CD8447CFE1E2C4A42C3675E8564A, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=43977 bytes, Retrieved=true, Duration=0.054777ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_4, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDAB81C28__F8BF0D1E00F78F96B5A37953F5FF55CA9FEB1320, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=36856 bytes, Retrieved=true, Duration=0.753865ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufCE894242__C0118808F184FFB83D79AD9AB11575B821F7BE15, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=94560 bytes, Retrieved=true, Duration=0.072118ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_6, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufCE894242__E69F05CBE301C9C11AAEFB5532D8AB1468EC7EAA, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=85695 bytes, Retrieved=true, Duration=1.271285ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_7, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD9DB04D0__8C735E221A869B92BEE039699E78B506A39A8D22, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=45844 bytes, Retrieved=true, Duration=0.042953ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_8, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD9DB04D0__0545CEB5D995C403F86A3189EAD5D9939AECBB77, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=38654 bytes, Retrieved=true, Duration=0.518996ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_9, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__A5F2BF274BCBD6757D2C7D5213D6917ACF545A9A, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=50964 bytes, Retrieved=true, Duration=0.033889ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_10, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__657512B49AED8701BB45866B56D043486A67DF9B, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=43651 bytes, Retrieved=true, Duration=0.881545ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_11, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__E6DF9CE0EE9717D8B71B071B783390509E9F2721, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=46674 bytes, Retrieved=true, Duration=0.032313ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_12, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__D4515787DF5450CB1E68235EBDDEF7547C3CDA40, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=39664 bytes, Retrieved=true, Duration=0.162754ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_13, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__6CDBC5D52F47BF08934D4F01FCC716E20F6A094B, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=27401 bytes, Retrieved=true, Duration=0.043742ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_14, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__B47EE8B2D597F86D3C53961C6B7DA58E4033BABF, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=20272 bytes, Retrieved=true, Duration=0.110339ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_15, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__F9C741C33AE83ACDCE92A59BCAEB4C89BB03F1E0, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=18645 bytes, Retrieved=true, Duration=0.029948ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_16, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__33390D3EE9D7EAE85E005AA887A98A1CFB42A306, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=11827 bytes, Retrieved=true, Duration=0.372399ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
DDCTransactionId30DC5C474FA4CB70572805B84607C5E4_17, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__12646B186A5F8067991F14F06B743B5A3FE20E69, StartTime=2015.12.10-05.56.04, HierarchicalDDC, DataSize=38327 bytes, Retrieved=true, Duration=0.052411ms, RunGuid=RunID5CC7F532450668D68C488F8012C43307
